scenario_id,user_id,scenario,is_malicious,start_date,end_date,description
S0005,UKK9924,M1,1,2026-06-10,2026-06-10,"Obvious M1 compromised account: off-hours login from new country US, elevated access to Sales Confidential/Restricted files."
S0003,DSE9841,M1,1,2026-06-11,2026-06-15,"Subtle M1 compromised account: login from DE within the user's normal hours, 8 files touched over 5 day(s)."
S0004,MAV1191,M1,1,2026-06-24,2026-06-27,"Moderate M1 compromised account: off-hours login from new country GB, elevated access to Support Confidential/Restricted files."
S0042,KHX2969,M2,1,2026-03-09,2026-03-15,"Subtle M2 exit exfiltration: escalating Engineering Confidential/Restricted downloads over 7 days, USB use, external upload near the end. Resignation notice on file."
S0025,ZXZ4586,M2,1,2026-03-14,2026-03-24,"Moderate M2 exit exfiltration: escalating Engineering Confidential/Restricted downloads over 11 days, USB use, external upload near the end. Resignation notice on file."
S0036,WZE9326,M2,1,2026-03-14,2026-03-20,"Subtle M2 exit exfiltration: escalating HR Confidential/Restricted downloads over 7 days, USB use, external upload near the end. Resignation notice on file."
S0043,BKG3081,M2,1,2026-03-17,2026-03-29,"Moderate M2 exit exfiltration: escalating Engineering Confidential/Restricted downloads over 13 days, USB use, external upload near the end. No resignation notice on file."
S0024,HHT2257,M2,1,2026-03-18,2026-03-25,"Subtle M2 exit exfiltration: escalating Sales Confidential/Restricted downloads over 8 days, USB use, external upload near the end. No resignation notice on file."
S0031,WRB3527,M2,1,2026-03-19,2026-03-31,"Moderate M2 exit exfiltration: escalating DevOps Confidential/Restricted downloads over 13 days, USB use, external upload near the end. No resignation notice on file."
S0035,MPR8653,M2,1,2026-03-30,2026-04-08,"Obvious M2 exit exfiltration: escalating Finance Confidential/Restricted downloads over 10 days, USB use, external upload near the end. Resignation notice on file."
S0030,VMP1735,M2,1,2026-04-03,2026-04-15,"Subtle M2 exit exfiltration: escalating Sales Confidential/Restricted downloads over 13 days, USB use, external upload near the end. No resignation notice on file."
S0029,QZQ7908,M2,1,2026-04-20,2026-04-25,"Obvious M2 exit exfiltration: escalating DevOps Confidential/Restricted downloads over 6 days, USB use, external upload near the end. No resignation notice on file."
S0040,FKX1002,M2,1,2026-04-21,2026-04-26,"Moderate M2 exit exfiltration: escalating Finance Confidential/Restricted downloads over 6 days, USB use, external upload near the end. Resignation notice on file."
S0039,KAQ4260,M2,1,2026-04-24,2026-05-07,"Subtle M2 exit exfiltration: escalating HR Confidential/Restricted downloads over 14 days, USB use, external upload near the end. Resignation notice on file."
S0023,EJK9290,M2,1,2026-04-27,2026-05-10,"Obvious M2 exit exfiltration: escalating Support Confidential/Restricted downloads over 14 days, USB use, external upload near the end. Resignation notice on file."
S0032,YSX2928,M2,1,2026-05-02,2026-05-12,"Obvious M2 exit exfiltration: escalating Engineering Confidential/Restricted downloads over 11 days, USB use, external upload near the end. Resignation notice on file."
S0027,CPS9069,M2,1,2026-05-10,2026-05-19,"Subtle M2 exit exfiltration: escalating IT Confidential/Restricted downloads over 10 days, USB use, external upload near the end. Resignation notice on file."
S0038,QFJ3194,M2,1,2026-05-16,2026-05-25,"Obvious M2 exit exfiltration: escalating DevOps Confidential/Restricted downloads over 10 days, USB use, external upload near the end. Resignation notice on file."
S0026,UWY3981,M2,1,2026-05-19,2026-05-30,"Obvious M2 exit exfiltration: escalating Support Confidential/Restricted downloads over 12 days, USB use, external upload near the end. No resignation notice on file."
S0028,UHB1648,M2,1,2026-05-20,2026-06-02,"Moderate M2 exit exfiltration: escalating Finance Confidential/Restricted downloads over 14 days, USB use, external upload near the end. Resignation notice on file."
S0034,ADL7522,M2,1,2026-05-26,2026-05-31,"Moderate M2 exit exfiltration: escalating Engineering Confidential/Restricted downloads over 6 days, USB use, external upload near the end. No resignation notice on file."
S0022,SQE3562,M2,1,2026-05-29,2026-06-07,"Moderate M2 exit exfiltration: escalating DevOps Confidential/Restricted downloads over 10 days, USB use, external upload near the end. Resignation notice on file."
S0041,VPM8632,M2,1,2026-05-30,2026-06-11,"Obvious M2 exit exfiltration: escalating DevOps Confidential/Restricted downloads over 13 days, USB use, external upload near the end. No resignation notice on file."
S0037,YWJ6443,M2,1,2026-06-14,2026-06-24,"Moderate M2 exit exfiltration: escalating IT Confidential/Restricted downloads over 11 days, USB use, external upload near the end. Resignation notice on file."
S0033,NZT5565,M2,1,2026-06-23,2026-06-29,"Subtle M2 exit exfiltration: escalating Sales Confidential/Restricted downloads over 7 days, USB use, external upload near the end. Resignation notice on file."
S0060,UPJ2100,M3,1,2026-02-16,2026-03-23,"Subtle M3 privilege creep: gradual cross-department access into Legal over 36 days, rising toward Confidential/Restricted."
S0061,YPA6465,M3,1,2026-02-20,2026-03-31,"Moderate M3 privilege creep: gradual cross-department access into Engineering over 40 days, rising toward Confidential/Restricted."
S0058,QJS2178,M3,1,2026-02-21,2026-04-03,"Moderate M3 privilege creep: gradual cross-department access into Support over 42 days, rising toward Confidential/Restricted."
S0056,RPB6169,M3,1,2026-02-22,2026-03-28,"Obvious M3 privilege creep: gradual cross-department access into DevOps over 35 days, rising toward Confidential/Restricted."
S0064,QDN2660,M3,1,2026-02-24,2026-04-09,"Moderate M3 privilege creep: gradual cross-department access into Legal over 45 days, rising toward Confidential/Restricted."
S0063,DDH6028,M3,1,2026-03-03,2026-04-02,"Subtle M3 privilege creep: gradual cross-department access into Sales over 31 days, rising toward Confidential/Restricted."
S0059,AGQ6804,M3,1,2026-03-04,2026-04-10,"Obvious M3 privilege creep: gradual cross-department access into Finance over 38 days, rising toward Confidential/Restricted."
S0044,XPG0614,M3,1,2026-03-10,2026-04-20,"Obvious M3 privilege creep: gradual cross-department access into Finance over 42 days, rising toward Confidential/Restricted."
S0054,BMC8908,M3,1,2026-03-12,2026-04-11,"Subtle M3 privilege creep: gradual cross-department access into HR over 31 days, rising toward Confidential/Restricted."
S0062,LSK8578,M3,1,2026-03-14,2026-04-23,"Obvious M3 privilege creep: gradual cross-department access into Finance over 41 days, rising toward Confidential/Restricted."
S0057,MEG7072,M3,1,2026-03-30,2026-05-03,"Subtle M3 privilege creep: gradual cross-department access into Legal over 35 days, rising toward Confidential/Restricted."
S0048,LQC3932,M3,1,2026-04-18,2026-05-25,"Subtle M3 privilege creep: gradual cross-department access into Support over 38 days, rising toward Confidential/Restricted."
S0055,GJF6121,M3,1,2026-04-18,2026-05-25,"Moderate M3 privilege creep: gradual cross-department access into IT over 38 days, rising toward Confidential/Restricted."
S0047,KGW8827,M3,1,2026-04-21,2026-06-03,"Obvious M3 privilege creep: gradual cross-department access into Legal over 44 days, rising toward Confidential/Restricted."
S0045,CGR6865,M3,1,2026-04-29,2026-06-01,"Subtle M3 privilege creep: gradual cross-department access into IT over 34 days, rising toward Confidential/Restricted."
S0050,HGD7422,M3,1,2026-04-29,2026-06-02,"Obvious M3 privilege creep: gradual cross-department access into Legal over 35 days, rising toward Confidential/Restricted."
S0051,NPU2327,M3,1,2026-05-04,2026-06-14,"Subtle M3 privilege creep: gradual cross-department access into DevOps over 42 days, rising toward Confidential/Restricted."
S0052,YXE8184,M3,1,2026-05-04,2026-06-15,"Moderate M3 privilege creep: gradual cross-department access into Legal over 43 days, rising toward Confidential/Restricted."
S0046,BXQ0249,M3,1,2026-05-08,2026-06-11,"Moderate M3 privilege creep: gradual cross-department access into Finance over 35 days, rising toward Confidential/Restricted."
S0049,MDE9058,M3,1,2026-05-19,2026-06-17,"Moderate M3 privilege creep: gradual cross-department access into Finance over 30 days, rising toward Confidential/Restricted."
S0065,LUW6194,M3,1,2026-05-21,2026-06-22,"Obvious M3 privilege creep: gradual cross-department access into IT over 33 days, rising toward Confidential/Restricted."
S0053,RHK5954,M3,1,2026-05-23,2026-06-22,"Obvious M3 privilege creep: gradual cross-department access into Finance over 31 days, rising toward Confidential/Restricted."
S0086,QAK7911,M4,1,2026-02-15,2026-03-03,Obvious M4 impossible travel: 6 instance(s) of concurrent overlapping sessions from US and IN on the same day.
S0070,GCD1014,M4,1,2026-02-26,2026-03-17,Moderate M4 impossible travel: 4 instance(s) of concurrent overlapping sessions from IN and DE on the same day.
S0077,XLD3365,M4,1,2026-03-04,2026-03-21,Obvious M4 impossible travel: 6 instance(s) of concurrent overlapping sessions from IN and GB on the same day.
S0078,ZHK7052,M4,1,2026-03-17,2026-04-01,Subtle M4 impossible travel: 2 instance(s) of concurrent overlapping sessions from GB and BR on the same day.
S0080,BSW8923,M4,1,2026-03-18,2026-04-03,Obvious M4 impossible travel: 6 instance(s) of concurrent overlapping sessions from US and IN on the same day.
S0068,ETS6294,M4,1,2026-03-19,2026-04-04,Obvious M4 impossible travel: 6 instance(s) of concurrent overlapping sessions from IN and BR on the same day.
S0079,VFK7595,M4,1,2026-03-23,2026-04-06,Moderate M4 impossible travel: 4 instance(s) of concurrent overlapping sessions from US and DE on the same day.
S0082,TDZ7818,M4,1,2026-03-31,2026-04-11,Moderate M4 impossible travel: 4 instance(s) of concurrent overlapping sessions from DE and GB on the same day.
S0075,QDB3652,M4,1,2026-04-03,2026-04-21,Subtle M4 impossible travel: 2 instance(s) of concurrent overlapping sessions from GB and BR on the same day.
S0066,FVY5415,M4,1,2026-04-08,2026-04-19,Subtle M4 impossible travel: 2 instance(s) of concurrent overlapping sessions from US and GB on the same day.
S0072,TZF4164,M4,1,2026-04-11,2026-04-29,Subtle M4 impossible travel: 2 instance(s) of concurrent overlapping sessions from US and DE on the same day.
S0074,JWE8116,M4,1,2026-04-21,2026-05-10,Obvious M4 impossible travel: 6 instance(s) of concurrent overlapping sessions from GB and IN on the same day.
S0085,UUZ0064,M4,1,2026-04-21,2026-05-10,Moderate M4 impossible travel: 4 instance(s) of concurrent overlapping sessions from GB and US on the same day.
S0073,DYE9273,M4,1,2026-04-23,2026-05-04,Moderate M4 impossible travel: 4 instance(s) of concurrent overlapping sessions from US and BR on the same day.
S0069,VYT8978,M4,1,2026-04-27,2026-05-07,Subtle M4 impossible travel: 2 instance(s) of concurrent overlapping sessions from DE and US on the same day.
S0084,FHC5582,M4,1,2026-05-04,2026-05-22,Subtle M4 impossible travel: 2 instance(s) of concurrent overlapping sessions from US and BR on the same day.
S0071,PUJ9838,M4,1,2026-05-05,2026-05-18,Obvious M4 impossible travel: 6 instance(s) of concurrent overlapping sessions from IN and GB on the same day.
S0081,WSK1631,M4,1,2026-05-12,2026-05-30,Subtle M4 impossible travel: 2 instance(s) of concurrent overlapping sessions from US and GB on the same day.
S0076,AFL5958,M4,1,2026-05-24,2026-06-10,Moderate M4 impossible travel: 4 instance(s) of concurrent overlapping sessions from GB and US on the same day.
S0083,YYC2668,M4,1,2026-05-26,2026-06-06,Obvious M4 impossible travel: 6 instance(s) of concurrent overlapping sessions from US and BR on the same day.
S0067,LAD8190,M4,1,2026-06-14,2026-06-29,Moderate M4 impossible travel: 4 instance(s) of concurrent overlapping sessions from DE and GB on the same day.
S0098,GMQ7067,M5,1,2026-02-18,2026-02-22,"Obvious M5 data staging via email: elevated email_attachment activity on Legal Confidential/Restricted files over 5 days, no USB, read volume near normal."
S0094,ZZH3377,M5,1,2026-02-19,2026-02-22,"Moderate M5 data staging via email: elevated email_attachment activity on Sales Confidential/Restricted files over 4 days, no USB, read volume near normal."
S0089,WZQ9342,M5,1,2026-02-27,2026-03-02,"Obvious M5 data staging via email: elevated email_attachment activity on Support Confidential/Restricted files over 4 days, no USB, read volume near normal."
S0096,MFB4161,M5,1,2026-03-08,2026-03-12,"Subtle M5 data staging via email: elevated email_attachment activity on Support Confidential/Restricted files over 5 days, no USB, read volume near normal."
S0087,UYH3482,M5,1,2026-03-13,2026-03-15,"Subtle M5 data staging via email: elevated email_attachment activity on Finance Confidential/Restricted files over 3 days, no USB, read volume near normal."
S0092,NDP9334,M5,1,2026-03-18,2026-03-21,"Obvious M5 data staging via email: elevated email_attachment activity on DevOps Confidential/Restricted files over 4 days, no USB, read volume near normal."
S0102,YJK5622,M5,1,2026-03-27,2026-03-29,"Subtle M5 data staging via email: elevated email_attachment activity on Support Confidential/Restricted files over 3 days, no USB, read volume near normal."
S0103,VVL2346,M5,1,2026-03-27,2026-03-31,"Moderate M5 data staging via email: elevated email_attachment activity on Sales Confidential/Restricted files over 5 days, no USB, read volume near normal."
S0091,LCT5452,M5,1,2026-03-28,2026-04-01,"Moderate M5 data staging via email: elevated email_attachment activity on Finance Confidential/Restricted files over 5 days, no USB, read volume near normal."
S0107,EXR0869,M5,1,2026-03-30,2026-04-02,"Obvious M5 data staging via email: elevated email_attachment activity on IT Confidential/Restricted files over 4 days, no USB, read volume near normal."
S0106,DEC1796,M5,1,2026-04-02,2026-04-05,"Moderate M5 data staging via email: elevated email_attachment activity on Engineering Confidential/Restricted files over 4 days, no USB, read volume near normal."
S0105,CQW5666,M5,1,2026-04-03,2026-04-07,"Subtle M5 data staging via email: elevated email_attachment activity on IT Confidential/Restricted files over 5 days, no USB, read volume near normal."
S0090,AMT3951,M5,1,2026-04-13,2026-04-17,"Subtle M5 data staging via email: elevated email_attachment activity on Engineering Confidential/Restricted files over 5 days, no USB, read volume near normal."
S0101,RPB2221,M5,1,2026-04-14,2026-04-17,"Obvious M5 data staging via email: elevated email_attachment activity on Finance Confidential/Restricted files over 4 days, no USB, read volume near normal."
S0100,PBM4108,M5,1,2026-05-08,2026-05-11,"Moderate M5 data staging via email: elevated email_attachment activity on DevOps Confidential/Restricted files over 4 days, no USB, read volume near normal."
S0097,DTW2539,M5,1,2026-05-17,2026-05-19,"Moderate M5 data staging via email: elevated email_attachment activity on Sales Confidential/Restricted files over 3 days, no USB, read volume near normal."
S0099,DLN5803,M5,1,2026-06-01,2026-06-05,"Subtle M5 data staging via email: elevated email_attachment activity on IT Confidential/Restricted files over 5 days, no USB, read volume near normal."
S0104,FAP0273,M5,1,2026-06-01,2026-06-05,"Obvious M5 data staging via email: elevated email_attachment activity on Sales Confidential/Restricted files over 5 days, no USB, read volume near normal."
S0093,WMT1608,M5,1,2026-06-05,2026-06-09,"Subtle M5 data staging via email: elevated email_attachment activity on DevOps Confidential/Restricted files over 5 days, no USB, read volume near normal."
S0095,BPW6998,M5,1,2026-06-06,2026-06-10,"Obvious M5 data staging via email: elevated email_attachment activity on Sales Confidential/Restricted files over 5 days, no USB, read volume near normal."
S0088,XJU4690,M5,1,2026-06-07,2026-06-11,"Moderate M5 data staging via email: elevated email_attachment activity on IT Confidential/Restricted files over 5 days, no USB, read volume near normal."
S0122,PJM7982,M6,1,2026-02-19,2026-02-20,"Obvious M6 sabotage: burst of 33 deletes on HR files across 2 day(s), partly off-hours, activity returns to normal afterward."
S0108,VKV9371,M6,1,2026-02-22,2026-02-22,"Subtle M6 sabotage: burst of 12 deletes on Engineering files across 1 day(s), partly off-hours, activity returns to normal afterward."
S0123,YEL9905,M6,1,2026-02-22,2026-02-23,"Subtle M6 sabotage: burst of 10 deletes on IT files across 2 day(s), partly off-hours, activity returns to normal afterward."
S0126,LCT4451,M6,1,2026-03-01,2026-03-01,"Subtle M6 sabotage: burst of 14 deletes on IT files across 1 day(s), partly off-hours, activity returns to normal afterward."
S0112,TBE1642,M6,1,2026-03-08,2026-03-10,"Moderate M6 sabotage: burst of 27 deletes on Engineering files across 3 day(s), partly off-hours, activity returns to normal afterward."
S0113,DHT3461,M6,1,2026-03-13,2026-03-13,"Obvious M6 sabotage: burst of 40 deletes on IT files across 1 day(s), partly off-hours, activity returns to normal afterward."
S0110,FUK6375,M6,1,2026-03-14,2026-03-16,"Obvious M6 sabotage: burst of 33 deletes on Sales files across 3 day(s), partly off-hours, activity returns to normal afterward."
S0114,QLT1421,M6,1,2026-03-14,2026-03-14,"Subtle M6 sabotage: burst of 8 deletes on Engineering files across 1 day(s), partly off-hours, activity returns to normal afterward."
S0109,WNZ8194,M6,1,2026-03-19,2026-03-19,"Moderate M6 sabotage: burst of 29 deletes on HR files across 1 day(s), partly off-hours, activity returns to normal afterward."
S0120,AJM2807,M6,1,2026-04-03,2026-04-04,"Subtle M6 sabotage: burst of 12 deletes on Support files across 2 day(s), partly off-hours, activity returns to normal afterward."
S0125,RWR4951,M6,1,2026-04-05,2026-04-06,"Obvious M6 sabotage: burst of 42 deletes on Finance files across 2 day(s), partly off-hours, activity returns to normal afterward."
S0119,VNR5092,M6,1,2026-04-06,2026-04-08,"Obvious M6 sabotage: burst of 34 deletes on Sales files across 3 day(s), partly off-hours, activity returns to normal afterward."
S0116,LWR1242,M6,1,2026-04-08,2026-04-10,"Obvious M6 sabotage: burst of 48 deletes on DevOps files across 3 day(s), partly off-hours, activity returns to normal afterward."
S0118,FGX9186,M6,1,2026-04-08,2026-04-09,"Moderate M6 sabotage: burst of 21 deletes on DevOps files across 2 day(s), partly off-hours, activity returns to normal afterward."
S0121,QKS9196,M6,1,2026-04-11,2026-04-11,"Moderate M6 sabotage: burst of 22 deletes on Engineering files across 1 day(s), partly off-hours, activity returns to normal afterward."
S0124,MJM7888,M6,1,2026-05-03,2026-05-05,"Moderate M6 sabotage: burst of 24 deletes on DevOps files across 3 day(s), partly off-hours, activity returns to normal afterward."
S0111,DEX6345,M6,1,2026-05-10,2026-05-10,"Subtle M6 sabotage: burst of 10 deletes on Sales files across 1 day(s), partly off-hours, activity returns to normal afterward."
S0127,LNX5432,M6,1,2026-06-03,2026-06-04,"Moderate M6 sabotage: burst of 24 deletes on Finance files across 2 day(s), partly off-hours, activity returns to normal afterward."
S0115,WHX4263,M6,1,2026-06-12,2026-06-13,"Moderate M6 sabotage: burst of 16 deletes on Sales files across 2 day(s), partly off-hours, activity returns to normal afterward."
S0117,YLA7200,M6,1,2026-06-24,2026-06-24,"Subtle M6 sabotage: burst of 9 deletes on Sales files across 1 day(s), partly off-hours, activity returns to normal afterward."
S0128,AHL0182,M6,1,2026-07-01,2026-07-01,"Obvious M6 sabotage: burst of 32 deletes on Engineering files across 1 day(s), partly off-hours, activity returns to normal afterward."
S0136,PJA2498,M7,1,2026-02-16,2026-03-24,Moderate M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 37 days.
S0149,PMV7499,M7,1,2026-02-27,2026-03-28,Obvious M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 30 days.
S0131,AFF2174,M7,1,2026-03-02,2026-04-09,Obvious M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 39 days.
S0144,MPF6269,M7,1,2026-03-06,2026-04-13,Subtle M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 39 days.
S0142,HVQ8555,M7,1,2026-03-14,2026-04-10,Moderate M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 28 days.
S0147,TNT2352,M7,1,2026-03-14,2026-04-14,Subtle M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 32 days.
S0145,SBE6209,M7,1,2026-03-17,2026-04-13,Moderate M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 28 days.
S0146,CQK5506,M7,1,2026-03-20,2026-04-15,Obvious M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 27 days.
S0138,GSN3813,M7,1,2026-04-01,2026-04-21,Subtle M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 21 days.
S0133,CEG0096,M7,1,2026-04-07,2026-04-27,Moderate M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 21 days.
S0140,TRT5910,M7,1,2026-04-08,2026-05-03,Obvious M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 26 days.
S0135,HEP6887,M7,1,2026-04-17,2026-05-27,Subtle M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 41 days.
S0143,AGH1760,M7,1,2026-05-03,2026-06-12,Obvious M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 41 days.
S0141,CPQ2082,M7,1,2026-05-04,2026-05-29,Subtle M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 26 days.
S0137,GDQ4471,M7,1,2026-05-07,2026-05-31,Obvious M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 25 days.
S0134,FNB0006,M7,1,2026-05-12,2026-06-11,Obvious M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 31 days.
S0148,RGD4993,M7,1,2026-05-13,2026-06-16,Moderate M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 35 days.
S0139,KMY8772,M7,1,2026-05-20,2026-06-11,Moderate M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 23 days.
S0130,PLP3673,M7,1,2026-05-26,2026-06-16,Moderate M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 22 days.
S0132,PYE7970,M7,1,2026-05-28,2026-06-24,Subtle M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 28 days.
S0129,XUY0616,M7,1,2026-05-31,2026-06-30,Subtle M7 credential sharing: a second device active in the same country with sessions overlapping the primary device across 31 days.
S0177,NSQ4495,business_travel,0,2026-02-15,2026-02-23,Business travel decoy: sessions from GB during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0157,PTJ4935,business_travel,0,2026-02-17,2026-02-24,Business travel decoy: sessions from IN during a work trip (first visit to this country); access pattern and hours remain normal.
S0190,DHG3808,business_travel,0,2026-02-19,2026-02-26,Business travel decoy: sessions from BR during a work trip (first visit to this country); access pattern and hours remain normal.
S0169,RPU8492,business_travel,0,2026-02-26,2026-03-04,Business travel decoy: sessions from IN during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0163,SHS0097,business_travel,0,2026-02-28,2026-03-09,Business travel decoy: sessions from US during a work trip (first visit to this country); access pattern and hours remain normal.
S0156,TTT4652,business_travel,0,2026-03-07,2026-03-11,Business travel decoy: sessions from DE during a work trip (first visit to this country); access pattern and hours remain normal.
S0188,CFT8853,business_travel,0,2026-03-17,2026-03-26,Business travel decoy: sessions from GB during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0150,QMM7832,business_travel,0,2026-03-21,2026-03-27,Business travel decoy: sessions from BR during a work trip (first visit to this country); access pattern and hours remain normal.
S0171,KQF9279,business_travel,0,2026-03-22,2026-03-27,Business travel decoy: sessions from GB during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0181,MLC0444,business_travel,0,2026-03-31,2026-04-04,Business travel decoy: sessions from US during a work trip (first visit to this country); access pattern and hours remain normal.
S0184,RHN7379,business_travel,0,2026-03-31,2026-04-03,Business travel decoy: sessions from IN during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0170,HAB6562,business_travel,0,2026-04-01,2026-04-07,Business travel decoy: sessions from BR during a work trip (first visit to this country); access pattern and hours remain normal.
S0186,LKX2108,business_travel,0,2026-04-03,2026-04-09,Business travel decoy: sessions from BR during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0173,SPM1999,business_travel,0,2026-04-07,2026-04-15,Business travel decoy: sessions from US during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0166,PDG5421,business_travel,0,2026-04-11,2026-04-14,Business travel decoy: sessions from US during a work trip (first visit to this country); access pattern and hours remain normal.
S0155,JYU4145,business_travel,0,2026-04-15,2026-04-23,Business travel decoy: sessions from GB during a work trip (first visit to this country); access pattern and hours remain normal.
S0168,YYV5359,business_travel,0,2026-04-19,2026-04-26,Business travel decoy: sessions from IN during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0174,RQF4228,business_travel,0,2026-04-20,2026-04-27,Business travel decoy: sessions from BR during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0191,FXZ4153,business_travel,0,2026-04-23,2026-04-27,Business travel decoy: sessions from BR during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0178,WYX0098,business_travel,0,2026-04-25,2026-05-04,Business travel decoy: sessions from US during a work trip (first visit to this country); access pattern and hours remain normal.
S0158,MJD5091,business_travel,0,2026-05-01,2026-05-08,Business travel decoy: sessions from BR during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0162,JRD4682,business_travel,0,2026-05-02,2026-05-07,Business travel decoy: sessions from IN during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0175,GTS1980,business_travel,0,2026-05-04,2026-05-12,Business travel decoy: sessions from BR during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0153,XAA3696,business_travel,0,2026-05-06,2026-05-13,Business travel decoy: sessions from BR during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0187,FMC2914,business_travel,0,2026-05-07,2026-05-10,Business travel decoy: sessions from GB during a work trip (first visit to this country); access pattern and hours remain normal.
S0160,UKE7449,business_travel,0,2026-05-12,2026-05-18,Business travel decoy: sessions from IN during a work trip (a country previously visited on business); access pattern and hours remain normal.
S0152,XDY0096,business_travel,0,2026-05-14,2026-05-23,Business travel decoy: sessions from US during a work trip (first visit to this country); access pattern and hours remain normal.
S0182,PAJ2937,business_travel,0,2026-05-14,2026-05-20,Business travel decoy: sessions from IN during a work trip (first visit to this country); access pattern and hours remain normal.
S0180,NUC9178,business_travel,0,2026-05-19,2026-05-27,Business travel decoy: sessions from GB during a work trip (first visit to this country); access pattern and hours remain normal.
